""	"X"	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"6"	"Appalachian State University"	"No"	7313	4664	1910	20	63	9940	1035	6806	2540	96	2000	83	96	18.3	14	5854	70	10975
"9"	"Assumption College"	"Yes"	2135	1700	491	23	59	1708	689	12000	5920	500	500	93	93	13.8	30	7100	88	2397
"10"	"Auburn University-Main Campus"	"No"	7548	6791	3070	25	57	16262	1716	6300	3933	600	1908	85	91	16.7	18	6642	69	17978
"12"	"Baldwin-Wallace College"	"Yes"	1690	1366	662	30	61	2718	1460	10995	4410	1000	1000	68	74	17.6	20	8086	85	4178
"13"	"Barnard College"	"Yes"	2496	1402	531	53	95	2121	69	17926	8124	600	850	83	93	10.3	33	12580	91	2190
"15"	"Baylor University"	"Yes"	6075	5349	2367	34	66	9919	484	6450	3920	600	1346	71	76	18.5	38	7503	72	10403
"16"	"Belmont University"	"Yes"	1220	974	481	28	67	1964	623	7800	3664	650	900	61	61	11.1	19	7614	49	2587
"18"	"Bentley College"	"Yes"	3466	2330	640	20	60	3095	1533	13800	5510	630	850	87	87	17.5	20	10941	82	4628
"21"	"Boston University"	"Yes"	20192	13007	3810	45	80	14971	3113	18420	6810	475	1025	80	81	11.9	16	16836	72	18084
"23"	"Bradley University"	"Yes"	3767	3414	1061	30	58	4531	643	10870	4440	2000	1522	75	81	14.4	21	7671	85	5174
"24"	"Brandeis University"	"Yes"	4186	2743	740	48	77	2819	62	19380	6750	410	1000	90	97	9.8	24	17150	84	2881
"26"	"Brigham Young University at Provo"	"Yes"	7365	5402	4615	48	82	27378	1253	2340	3580	860	1220	76	76	20.5	40	7916	33	28631
"27"	"Brown University"	"Yes"	12586	3239	1462	87	95	5643	349	19528	5926	720	1100	99	100	7.6	39	20440	97	5992
"28"	"Bucknell University"	"Yes"	6548	3813	862	49	85	3316	31	18550	4750	800	1200	95	97	14.2	36	13675	93	3347
"29"	"Buena Vista College"	"Yes"	860	688	285	32	70	1928	442	13306	3797	450	950	62	69	8.8	10	6333	78	2370
"30"	"Butler University"	"Yes"	2362	2037	700	40	68	2607	148	13130	4650	500	1600	77	81	10.9	29	9511	83	2755
"31"	"California Polytechnic-San Luis"	"No"	7811	3817	1650	47	73	12911	1404	7380	4877	612	2091	72	81	19.8	13	8453	59	14315
"32"	"California State University at Fresno"	"No"	4540	3294	1483	5	60	13494	1254	7706	4368	600	1926	90	90	21.2	8	7268	61	14748
"36"	"Capital University"	"Yes"	1747	1382	449	34	66	1662	960	13050	4000	500	800	64	69	12.1	27	9557	83	2622
"37"	"Carnegie Mellon University"	"Yes"	8728	5201	1191	60	89	4265	291	17900	5690	450	1250	86	93	9.2	31	24386	74	4556
"38"	"Case Western Reserve University"	"Yes"	3877	3156	713	71	93	3051	513	15700	4730	525	1460	95	95	2.9	29	19733	67	3564
"43"	"Central Washington University"	"No"	2785	2011	1007	8	65	6507	898	7242	3603	654	1416	67	89	18.1	0	6413	51	7405
"45"	"Clark University"	"Yes"	2887	2059	457	30	61	1928	296	17500	4200	500	950	94	95	10.5	35	11951	79	2224
"46"	"Clarkson University"	"Yes"	2174	1953	557	35	68	2332	53	15960	5580	700	1300	95	95	15.8	32	11659	77	2385
"47"	"Clemson University"	"No"	8065	5257	2301	37	65	11755	770	8116	3610	800	1618	82	88	18	17	7597	73	12525
"48"	"Colgate University"	"Yes"	4856	2492	727	46	75	2649	25	19510	5565	500	750	95	98	10.5	45	15494	93	2674
"51"	"College of Notre Dame of Maryland"	"Yes"	457	356	177	35	61	667	1983	11180	5620	600	700	64	64	11.5	32	7477	75	2650
"53"	"College of Saint Rose"	"Yes"	983	664	249	23	57	1698	894	9990	5666	800	1500	66	71	14.3	28	6084	64	2592
"54"	"College of the Holy Cross"	"Yes"	2994	1691	659	70	95	2675	22	18000	6300	400	900	92	96	11.3	55	12138	95	2697
"55"	"College of William and Mary"	"No"	7117	3106	1217	68	88	5186	134	11720	4298	600	800	89	92	12.1	31	9534	93	5320
"56"	"Colorado State University"	"No"	9478	6312	2194	29	65	15646	1829	8412	4180	470	1800	87	89	19.2	10	7850	59	17475
"58"	"Columbia University"	"Yes"	6756	1930	871	78	96	3376	55	18624	6664	550	300	97	98	5.9	21	30639	99	3431
"59"	"Creighton University"	"Yes"	2967	2836	876	30	60	3450	644	10628	4372	650	2055	85	90	6.5	32	22906	85	4094
"60"	"Dartmouth College"	"Yes"	8587	2273	1087	87	99	3918	32	19545	6070	550	1100	95	99	4.7	49	29619	98	3950
"63"	"Drake University"	"Yes"	2799	2573	839	34	65	3322	726	13420	4770	560	1675	88	93	15	24	9473	77	4048
"64"	"Duke University"	"Yes"	13789	3893	1583	90	98	6188	53	18590	5950	625	1162	95	96	5	44	27206	97	6241
"71"	"Emory University"	"Yes"	8506	4168	1236	76	97	5544	192	17600	6000	600	870	97	98	5	28	28457	96	5736
"72"	"Emporia State University"	"No"	1256	1256	853	43	79	3957	588	5401	3144	450	1888	72	75	19.3	4	5527	50	4545
"74"	"Fairfield University"	"Yes"	4784	3346	781	30	66	2984	1037	15000	6200	700	1100	86	90	15.1	30	11220	94	4021
"76"	"Florida International University"	"No"	3306	2079	1071	42	89	10208	9310	6597	2494	800	3028	81	96	13.9	20	6722	66	19518
"78"	"Florida State University"	"No"	11651	8683	3023	50	90	18906	3242	6680	4060	600	1020	80	89	23.1	15	7250	58	22148
"83"	"Furman University"	"Yes"	2161	1951	685	56	82	2371	175	13440	4048	600	1250	92	95	13.5	28	12940	82	2546
"84"	"Gannon University"	"Yes"	2464	1908	678	24	57	2693	691	10970	4280	500	1380	47	51	13.3	18	7711	65	3384
"86"	"George Washington University"	"Yes"	7875	5062	1492	38	71	5471	1470	17450	6328	700	950	92	93	7.6	15	14745	72	6941
"87"	"Georgetown University"	"Yes"	11115	2881	1390	71	93	5881	406	18300	7131	670	1700	91	92	7.2	27	19635	95	6287
"88"	"Georgia Institute of Technology"	"No"	7837	4527	2276	89	99	8528	654	6489	4438	795	1164	92	92	19.3	33	11271	70	9182
"90"	"Gonzaga University"	"Yes"	1886	1524	526	31	67	2523	296	13000	4450	600	2400	78	90	14.7	32	9553	69	2819
"92"	"Grand Valley State University"	"No"	5165	3887	1561	20	60	8234	2619	6108	3800	500	1000	64	66	20.6	9	5063	57	10853
"93"	"Grove City College"	"Yes"	2491	1110	573	57	88	2213	35	5224	3048	525	350	65	65	18.4	18	4957	100	2248
"94"	"Gustavus Adolphus College"	"Yes"	1709	1385	634	36	72	2281	50	14125	3600	400	700	79	89	12.5	58	9907	80	2331
"95"	"Hampton University"	"Yes"	7178	3755	1433	25	63	4623	740	7161	3518	600	2000	60	64	14	9	6791	70	5363
"96"	"Harding University"	"Yes"	1721	1068	806	35	75	3128	213	5504	3528	700	910	71	77	17.7	37	6466	73	3341
"97"	"Harvard University"	"Yes"	13865	2165	1606	90	100	6862	320	18485	6410	500	1920	97	97	9.9	52	37219	100	7182
"98"	"Hofstra University"	"Yes"	7428	5860	1349	25	63	6534	1350	11600	5920	1000	1000	81	90	13.9	10	10093	60	7884
"99"	"Hope College"	"Yes"	1712	1483	624	37	69	2505	208	12275	4341	465	1100	72	81	12.5	40	9284	72	2713
"100"	"Illinois Institute of Technology"	"Yes"	1756	1360	478	42	77	1911	626	14550	4620	500	700	80	88	12.3	26	12851	56	2537
"104"	"Indiana University at Bloomington"	"No"	16587	13243	5873	25	72	24763	2717	9766	3990	600	2000	77	88	21.3	24	8686	68	27480
"107"	"Iowa State University"	"No"	8427	7424	3441	26	59	18676	1715	7550	3224	640	2055	81	88	19.2	22	8420	65	20391
"109"	"James Madison University"	"No"	11223	5285	2082	32	72	9652	742	7994	4544	500	732	77	81	17.9	29	5212	98	10394
"112"	"John Carroll University"	"Yes"	2421	2109	820	27	57	3168	392	11700	5550	600	450	89	90	14.5	28	7738	89	3560
"113"	"Johns Hopkins University"	"Yes"	8474	3446	911	75	94	3566	1569	18800	6740	500	1040	96	97	3.3	38	56233	90	5135
"117"	"Lafayette College"	"Yes"	4010	2402	572	36	59	2018	226	18730	5740	600	1000	93	96	10.5	38	15365	92	2244
"121"	"Le Moyne College"	"Yes"	1470	1199	425	21	76	1820	558	11040	4840	400	900	89	92	13.3	28	8118	94	2378
"122"	"Lehigh University"	"Yes"	6397	4304	1092	40	84	4298	132	18700	5580	750	1130	96	99	12.5	43	14665	91	4430
"125"	"Linfield College"	"Yes"	1561	1188	458	48	72	1548	840	13380	4210	500	900	89	91	17.8	34	8747	81	2388
"128"	"Louisiana State University at Baton Rouge"	"No"	5996	4993	3079	29	57	16269	3757	5925	2980	600	2242	83	87	15.9	11	6741	37	20026
"131"	"Loyola Marymount University"	"Yes"	3768	2662	753	42	64	3558	436	13592	5916	545	1328	84	88	14.2	10	11677	84	3994
"132"	"Loyola University"	"Yes"	1891	1698	719	24	80	2740	761	11100	5870	600	750	77	88	11.7	14	9456	53	3501
"134"	"Luther College"	"Yes"	1549	1392	587	38	72	2269	85	13240	3560	600	400	73	85	13.8	38	8949	77	2354
"135"	"Manhattan College"	"Yes"	2432	1730	563	20	63	2578	254	12370	6800	500	1800	92	92	13.6	25	10062	79	2832
"138"	"Marquette University"	"Yes"	5152	4600	1685	36	71	7016	804	11610	4760	600	1950	86	94	13.5	25	9982	77	7820
"139"	"Marshall University"	"Yes"	4226	3666	2007	14	60	7703	2339	5094	4010	700	1560	77	86	16.6	10	6203	50	10042
"140"	"Mary Washington College"	"No"	4350	2178	756	39	78	2997	736	6490	4942	650	2102	75	80	17.6	30	5358	84	3733
"142"	"Massachusetts Institute of Technology"	"Yes"	6411	2140	1078	96	99	4481	28	20100	5975	725	1600	99	99	10.1	35	33541	94	4509
"143"	"Mercer University"	"Yes"	2286	1668	564	37	70	2943	1260	11985	4081	400	1500	93	95	9.2	15	8995	91	4203
"145"	"Meredith College"	"Yes"	857	772	376	25	58	1721	470	6720	3250	450	1520	77	82	13.9	33	6881	82	2191
"148"	"Messiah College"	"Yes"	1742	1382	607	30	64	2258	53	10300	5080	475	1200	68	75	14.1	30	7762	89	2311
"150"	"Michigan State University"	"No"	18114	15096	6180	23	57	26640	4120	10658	3734	504	600	93	95	14	9	10520	71	30760
"151"	"Michigan Technological University"	"No"	2618	2288	1032	42	77	5524	414	8127	3978	900	1200	82	82	17	25	7473	65	5938
"152"	"Millersville University of Penn."	"No"	6011	3075	960	22	60	5146	1532	7844	3830	450	1258	72	74	16.8	20	7832	71	6678
"153"	"Milwaukee School of Engineering"	"Yes"	1217	1088	496	36	69	1773	884	11505	3255	1000	2075	35	46	16.7	23	7140	67	2657
"154"	"Mississippi College"	"Yes"	594	385	307	36	57	1695	721	5580	2830	600	700	77	79	16.5	18	6170	61	2416
"155"	"Mississippi State University"	"No"	4255	3277	1609	18	57	10094	1621	9866	3084	480	1479	77	77	15.9	20	6223	53	11715
"162"	"Morehouse College"	"Yes"	3708	1678	722	41	66	2852	153	7050	5490	250	600	71	74	17.8	10	8122	83	3005
"165"	"New Jersey Institute of Technology"	"No"	1879	1216	483	27	62	3311	1646	8832	5376	700	1850	92	98	13.5	19	12529	72	4957
"166"	"New York University"	"Yes"	13594	7244	2505	70	86	12408	2814	17748	7262	450	1000	87	98	7.8	16	21227	71	15222
"167"	"Niagara University"	"Yes"	2220	1796	467	65	99	1919	334	10320	4762	450	650	68	100	14.2	20	7788	65	2253
"169"	"North Carolina State University at Raleigh"	"No"	10634	7064	3176	39	78	16505	5481	8400	6540	600	1300	92	98	17.5	21	9670	62	21986
"171"	"Northeast Missouri State University"	"No"	6040	4577	1620	36	72	5640	266	4856	3416	400	1100	69	72	15.7	13	6601	76	5906
"176"	"Northwestern University"	"Yes"	12289	5200	1902	85	98	7450	45	16404	5520	759	1585	96	100	6.8	25	26385	92	7495
"179"	"Oberlin College"	"Yes"	4778	2767	678	50	89	2587	120	19670	5820	575	1119	77	96	10.1	47	16593	83	2707
"180"	"Ohio Northern University"	"Yes"	2936	2342	669	35	62	2502	66	15990	4080	600	825	73	78	14.5	31	9979	83	2568
"182"	"Oklahoma Baptist University"	"Yes"	758	681	484	35	59	1707	705	5390	3140	515	1290	63	71	15.1	18	5511	50	2412
"183"	"Oklahoma State University"	"No"	4522	3913	2181	29	57	12830	1658	5336	3344	800	3100	84	92	15.3	14	6433	48	14488
"184"	"Otterbein College"	"Yes"	1496	1205	428	26	57	1648	936	12888	4440	420	840	62	68	13.9	30	8802	87	2584
"186"	"Pace University"	"Yes"	8256	3750	1522	37	70	5809	4379	11000	5160	660	1115	90	95	13.8	10	10059	62	10188
"187"	"Pacific Lutheran University"	"Yes"	1603	1392	504	31	68	2580	302	13312	4488	600	1516	78	78	11	23	9431	83	2882
"189"	"Pennsylvania State Univ. Main Campus"	"No"	19315	10344	3450	48	93	28938	2025	10645	4060	512	2394	77	96	18.1	19	8992	63	30963
"190"	"Pepperdine University"	"Yes"	3821	2037	680	86	96	2488	625	18200	6770	500	700	95	98	11.6	13	16185	66	3113
"195"	"Princeton University"	"Yes"	13218	2042	1153	90	98	4540	146	19900	5910	675	1575	91	96	8.4	54	28320	99	4686
"197"	"Purdue University at West Lafayette"	"No"	21804	18744	5874	29	60	26213	4065	9556	3990	570	1060	86	86	18.2	15	8604	67	30278
"201"	"Rensselaer Polytechnic Institute"	"Yes"	4996	4165	936	53	82	4291	16	17475	5976	1230	1100	94	98	15.4	21	15605	70	4307
"205"	"Rowan College of New Jersey"	"No"	3820	1431	695	21	70	5303	3942	4356	4830	800	800	76	81	22.1	6	7252	51	9245
"206"	"Rutgers at New Brunswick"	"No"	48094	26330	4520	36	79	21401	3712	7410	4748	690	2009	90	95	19.5	19	10474	77	25113
"207"	"Rutgers State University at Camden"	"No"	3366	1752	232	27	79	2585	1300	7411	4748	690	2009	90	95	18.6	12	10134	57	3885
"208"	"Rutgers State University at Newark"	"No"	5785	2690	499	26	62	4005	1886	7410	4748	690	2009	90	95	17.4	16	11878	58	5891
"212"	"Saint Joseph's University"	"Yes"	2519	2003	776	39	71	2473	1314	12750	6350	350	1690	84	90	17.4	13	8243	83	3787
"213"	"Saint Louis University"	"Yes"	3294	2855	956	44	67	4576	1140	11690	4730	800	6800	84	94	4.6	19	18367	67	5716
"214"	"Saint Olaf College"	"Yes"	2248	1673	745	38	73	2888	105	14350	3750	550	550	82	88	10	31	12502	83	2993
"216"	"Saint Xavier University"	"Yes"	785	647	295	15	65	1670	726	10860	4624	600	794	87	100	13.7	15	8953	55	2396
"218"	"Samford University"	"Yes"	1680	1395	691	34	76	2959	402	8236	3700	569	1650	74	75	14.7	17	9533	61	3361
"219"	"San Diego State University"	"No"	9402	7020	2151	20	70	16407	5550	8384	5110	612	2400	87	93	19.5	7	7930	41	21957
"220"	"Santa Clara University"	"Yes"	4019	2779	888	40	73	3891	128	13584	5928	630	1278	88	92	13.9	19	10872	100	4019
"221"	"Savannah Coll. of Art and Design"	"Yes"	1109	688	386	20	65	1897	208	8325	5000	1200	1600	14	98	16.1	26	6874	55	2105
"222"	"Seattle Pacific University"	"Yes"	1183	1016	411	42	82	1922	704	12669	4875	600	1250	83	85	16.8	20	10368	66	2626
"223"	"Seattle University"	"Yes"	2115	1540	494	28	72	2993	347	12825	4375	500	1500	85	85	12.2	16	10175	89	3340
"226"	"Siena College"	"Yes"	2961	1932	628	24	68	2669	616	10800	5100	575	1090	71	82	14.1	42	8189	100	3285
"227"	"Skidmore College"	"Yes"	4293	2728	591	25	62	2322	263	18710	5970	500	700	87	92	12.7	29	14837	81	2585
"228"	"Smith College"	"Yes"	2925	1598	632	51	88	2479	95	18820	6390	500	1050	85	97	10.3	44	21199	90	2574
"233"	"Southern Methodist University"	"Yes"	4301	3455	1166	41	69	4892	387	12772	5078	576	1802	74	88	13.5	17	12726	72	5279
"238"	"St. Mary's College of California"	"Yes"	2643	1611	465	36	80	2615	248	13332	6354	630	1584	88	89	16.1	17	9619	78	2863
"239"	"St. Mary's University of San Antonio"	"Yes"	1243	1020	414	33	60	2149	418	8678	3858	700	1736	82	83	16.2	7	7651	72	2567
"240"	"Stockton College of New Jersey"	"No"	4019	1579	710	23	65	4365	765	3040	4351	711	1125	78	92	19.5	7	5599	64	5130
"241"	"Stonehill College"	"Yes"	3646	2300	585	25	69	2022	926	12170	6172	480	800	79	79	13	30	7495	97	2948
