""	"X"	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"2"	"Agnes Scott College"	"Yes"	417	349	137	60	89	510	63	12960	5450	450	875	92	97	7.7	37	19016	59	573
"4"	"Albertson College"	"Yes"	587	479	158	38	62	678	41	13500	3335	500	675	67	73	9.4	11	9727	55	719
"6"	"Albion College"	"Yes"	1899	1720	489	37	68	1594	32	13868	4826	450	850	89	100	13.7	37	11487	73	1626
"7"	"Albright College"	"Yes"	1038	839	227	30	63	973	306	15595	4400	300	500	79	84	11.3	23	11644	80	1279
"9"	"Alfred University"	"Yes"	1732	1425	472	37	75	1830	110	16548	5406	500	600	82	88	11.3	31	10932	73	1940
"10"	"Allegheny College"	"Yes"	2652	1900	484	44	77	1707	44	17080	4440	400	600	73	91	9.9	41	11711	76	1751
"11"	"Allentown Coll. of St. Francis de Sales"	"Yes"	1179	780	290	38	64	1130	638	9690	4785	600	1000	60	84	13.3	21	7940	74	1768
"12"	"Alma College"	"Yes"	1267	1080	385	44	73	1306	28	12572	4552	400	400	79	87	15.3	32	9305	68	1334
"14"	"Amherst College"	"Yes"	4302	992	418	83	96	1593	5	19760	5300	660	1598	93	98	8.4	63	21424	100	1598
"18"	"Arkansas College (Lyon College)"	"Yes"	708	334	166	46	74	530	182	8644	3922	500	800	79	88	12.6	24	14579	54	712
"19"	"Augustana College"	"Yes"	761	725	306	21	58	1337	300	10990	3244	600	1021	66	70	10.4	30	6871	69	1637
"20"	"Augustana College IL"	"Yes"	1879	1658	497	36	69	1950	38	13353	4173	540	821	78	83	12.7	40	9220	71	1988
"21"	"Austin College"	"Yes"	948	798	295	42	74	1120	15	11280	4342	400	1150	81	95	13	33	11361	71	1135
"25"	"Bard College"	"Yes"	1910	838	285	50	85	1004	15	19264	6206	750	750	98	98	10.4	30	13894	79	1019
"26"	"Beaver College"	"Yes"	1163	850	348	23	56	878	519	12850	5400	400	800	78	89	12.2	30	8954	73	1397
"27"	"Bellarmine College"	"Yes"	807	707	308	39	63	1198	605	8840	2950	750	1290	74	82	13.1	31	6668	84	1803
"29"	"Beloit College"	"Yes"	1320	923	284	26	54	1085	81	16304	3616	355	715	87	95	11.1	26	12957	69	1166
"31"	"Bennington College"	"Yes"	519	327	114	25	53	457	2	21700	4100	600	500	35	59	10.1	33	16364	55	459
"32"	"Berry College"	"Yes"	1858	1221	480	37	68	1620	49	8050	3940	350	2375	80	80	16.3	17	10511	63	1669
"36"	"Birmingham-Southern College"	"Yes"	805	588	287	67	88	1376	207	11660	4325	400	900	74	79	14	34	8649	72	1583
"37"	"Blackburn College"	"Yes"	500	336	156	25	55	421	27	6500	2700	500	1000	76	76	14.3	53	8377	51	448
"40"	"Bowdoin College"	"Yes"	3356	1019	418	76	100	1490	8	19030	5885	1495	875	93	96	11.2	52	20447	96	1498
"44"	"Bridgewater College"	"Yes"	838	673	292	22	53	881	55	10265	4725	560	875	68	73	13.2	24	8655	82	936
"45"	"Bryn Mawr College"	"Yes"	1465	810	313	71	95	1088	16	18165	6750	500	1200	100	100	12.3	49	17449	89	1104
"48"	"California Lutheran University"	"Yes"	563	247	247	23	52	1427	432	12950	5300	612	576	72	74	12.4	17	8985	60	1859
"49"	"Campbellsville College"	"Yes"	848	587	298	25	55	935	184	6060	3070	600	1300	62	66	17.7	13	5391	49	1119
"50"	"Capitol College"	"Yes"	100	90	35	10	52	282	331	8400	2812	300	2134	10	50	12.1	24	7976	52	613
"51"	"Carleton College"	"Yes"	2694	1579	489	75	93	1870	12	19292	3957	550	550	81	93	10.4	60	17960	91	1882
"52"	"Carroll College"	"Yes"	1160	991	352	19	55	1357	737	12200	3880	480	930	74	81	17.8	25	7666	79	2094
"53"	"Carson-Newman College"	"Yes"	1096	951	464	27	62	1776	239	8150	3150	400	500	61	62	13.6	16	6716	67	2015
"58"	"Cedar Crest College"	"Yes"	776	607	198	25	58	791	764	14340	5285	500	1000	58	83	11.7	39	10961	74	1555
"60"	"Centenary College of Louisiana"	"Yes"	495	434	210	35	55	775	44	8950	3490	600	1900	86	92	11.3	25	9685	66	819
"62"	"Central College"	"Yes"	1283	1113	401	31	65	1355	40	10938	3660	650	600	76	90	13.5	29	8444	67	1395
"64"	"Centre College"	"Yes"	1013	888	288	55	82	943	7	11850	4270	600	900	95	99	11.4	60	13118	74	950
"66"	"Chatham College"	"Yes"	212	197	91	28	56	471	148	13500	5230	400	850	95	98	9.3	37	16095	52	619
"67"	"Chestnut Hill College"	"Yes"	342	254	126	25	64	518	232	10335	5015	700	850	71	71	8.3	29	7729	73	750
"68"	"Christendom College"	"Yes"	81	72	51	33	71	139	3	8730	3600	400	800	92	92	9.3	17	10922	58	142
"71"	"Claremont McKenna College"	"Yes"	1860	767	227	71	93	887	1	17000	6010	500	850	99	99	9.6	52	18443	87	888
"74"	"Coe College"	"Yes"	1006	742	275	29	60	1127	205	13925	4390	500	2200	73	86	12.7	32	10141	67	1332
"76"	"Colby College"	"Yes"	2848	1319	456	58	84	1720	35	18930	5590	500	1000	83	94	10.2	41	15954	91	1755
"77"	"College Misericordia"	"Yes"	1432	888	317	29	58	1121	493	10860	5760	550	900	56	62	12.9	23	8604	96	1614
"80"	"College of Saint Benedict"	"Yes"	938	864	511	29	62	1715	103	12247	4221	500	600	70	88	13.1	26	8847	72	1818
"81"	"College of Saint Elizabeth"	"Yes"	444	359	122	34	53	493	968	10900	5250	380	1000	68	70	11.4	23	9447	78	1461
"84"	"College of St. Scholastica"	"Yes"	672	596	278	29	60	1350	275	11844	3696	450	1146	54	76	11.6	33	8996	72	1625
"85"	"College of Wooster"	"Yes"	2100	1883	553	29	65	1704	1	16240	4690	500	500	84	96	11.1	43	14140	69	1705
"86"	"Colorado College"	"Yes"	3207	1577	490	56	87	1892	7	17142	4190	450	1200	85	97	11.3	51	14664	84	1899
"87"	"Columbia College"	"Yes"	737	614	242	21	67	968	237	10425	3975	500	1500	61	77	14.7	34	8693	76	1205
"90"	"Concordia University"	"Yes"	528	403	186	22	56	1168	145	9216	4191	400	1000	56	64	12.1	13	7309	75	1313
"91"	"Concordia University CA"	"Yes"	688	497	144	30	75	641	101	10800	4440	570	1515	55	60	13.1	13	8415	55	742
"92"	"Connecticut College"	"Yes"	3035	1546	438	42	93	1630	232	18740	6300	600	500	86	95	10.7	40	14773	91	1862
"93"	"Converse College"	"Yes"	440	407	149	35	70	643	80	12050	3700	500	900	63	76	10.2	31	10965	75	723
"94"	"Cornell College"	"Yes"	1538	1329	383	33	68	1140	10	15248	4323	550	800	71	76	12.2	31	10340	64	1150
"95"	"Culver-Stockton College"	"Yes"	1576	1110	274	24	55	992	112	8000	3700	400	500	51	52	14.1	28	5807	51	1104
"100"	"Davidson College"	"Yes"	2373	956	452	77	96	1601	6	17295	5070	600	1011	95	97	12	46	17581	94	1607
