""	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"Abilene Christian University"	"Yes"	1660	1232	721	23	52	2885	537	7440	3300	450	2200	70	78	18.1	12	7041	60	3422
"Adelphi University"	"Yes"	2186	1924	512	16	29	2683	1227	12280	6450	750	1500	29	30	12.2	16	10527	56	3910
"Alverno College"	"Yes"	494	313	157	23	46	1317	1235	8352	3640	650	2449	36	69	11.1	26	8127	55	2552
"Anderson University"	"Yes"	1216	908	423	19	40	1819	281	10100	3520	550	1100	48	61	12.1	14	7994	59	2100
"Angelo State University"	"No"	3540	2001	1016	24	54	4190	1512	5130	3592	500	2000	60	62	23.1	5	4010	34	5702
"Appalachian State University"	"No"	7313	4664	1910	20	63	9940	1035	6806	2540	96	2000	83	96	18.3	14	5854	70	10975
"Arizona State University Main campus"	"No"	12809	10308	3761	24	49	22593	7585	7434	4850	700	2100	88	93	18.9	5	4602	48	30178
"Arkansas Tech University"	"No"	1734	1729	951	12	52	3602	939	3460	2650	450	1000	57	60	19.6	5	4739	48	4541
"Assumption College"	"Yes"	2135	1700	491	23	59	1708	689	12000	5920	500	500	93	93	13.8	30	7100	88	2397
"Auburn University-Main Campus"	"No"	7548	6791	3070	25	57	16262	1716	6300	3933	600	1908	85	91	16.7	18	6642	69	17978
"Augsburg College"	"Yes"	662	513	257	12	30	2074	726	11902	4372	540	950	65	65	12.8	31	7836	58	2800
"Baldwin-Wallace College"	"Yes"	1690	1366	662	30	61	2718	1460	10995	4410	1000	1000	68	74	17.6	20	8086	85	4178
"Barnard College"	"Yes"	2496	1402	531	53	95	2121	69	17926	8124	600	850	83	93	10.3	33	12580	91	2190
"Barry University"	"Yes"	990	784	279	18	45	1811	3144	11290	5360	600	1800	76	78	12.6	11	9084	72	4955
"Baylor University"	"Yes"	6075	5349	2367	34	66	9919	484	6450	3920	600	1346	71	76	18.5	38	7503	72	10403
"Belmont University"	"Yes"	1220	974	481	28	67	1964	623	7800	3664	650	900	61	61	11.1	19	7614	49	2587
"Bemidji State University"	"No"	1208	877	546	12	36	3796	824	4425	2700	660	1800	57	62	19.6	16	3752	46	4620
"Bentley College"	"Yes"	3466	2330	640	20	60	3095	1533	13800	5510	630	850	87	87	17.5	20	10941	82	4628
"Bethune Cookman College"	"Yes"	1646	1150	542	12	30	2128	82	5188	3396	650	2500	48	48	13.8	9	6817	58	2210
"Bloomsburg Univ. of Pennsylvania"	"No"	6773	3028	1025	15	55	5847	946	7844	2948	500	1680	66	68	18	19	7041	75	6793
"Boston University"	"Yes"	20192	13007	3810	45	80	14971	3113	18420	6810	475	1025	80	81	11.9	16	16836	72	18084
"Bowling Green State University"	"No"	9251	7333	3076	14	45	13699	1213	7452	3352	600	1700	81	89	21.1	14	6918	67	14912
"Bradley University"	"Yes"	3767	3414	1061	30	58	4531	643	10870	4440	2000	1522	75	81	14.4	21	7671	85	5174
"Brandeis University"	"Yes"	4186	2743	740	48	77	2819	62	19380	6750	410	1000	90	97	9.8	24	17150	84	2881
"Brewton-Parker College"	"Yes"	1436	1228	1202	10	26	1320	822	4371	2370	500	2000	62	62	12.6	10	4900	18	2142
"Brigham Young University at Provo"	"Yes"	7365	5402	4615	48	82	27378	1253	2340	3580	860	1220	76	76	20.5	40	7916	33	28631
"Brown University"	"Yes"	12586	3239	1462	87	95	5643	349	19528	5926	720	1100	99	100	7.6	39	20440	97	5992
"Bucknell University"	"Yes"	6548	3813	862	49	85	3316	31	18550	4750	800	1200	95	97	14.2	36	13675	93	3347
"Buena Vista College"	"Yes"	860	688	285	32	70	1928	442	13306	3797	450	950	62	69	8.8	10	6333	78	2370
"Butler University"	"Yes"	2362	2037	700	40	68	2607	148	13130	4650	500	1600	77	81	10.9	29	9511	83	2755
