""	"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"	"total_undergrads"
"Adrian College"	"Yes"	1428	1097	336	22	50	1036	99	11250	3750	400	1165	53	66	12.9	30	8735	54	1135
"Agnes Scott College"	"Yes"	417	349	137	60	89	510	63	12960	5450	450	875	92	97	7.7	37	19016	59	573
"Alaska Pacific University"	"Yes"	193	146	55	16	44	249	869	7560	4120	800	1500	76	72	11.9	2	10922	15	1118
"Albertson College"	"Yes"	587	479	158	38	62	678	41	13500	3335	500	675	67	73	9.4	11	9727	55	719
"Albertus Magnus College"	"Yes"	353	340	103	17	45	416	230	13290	5720	500	1500	90	93	11.5	26	8861	63	646
"Albion College"	"Yes"	1899	1720	489	37	68	1594	32	13868	4826	450	850	89	100	13.7	37	11487	73	1626
"Albright College"	"Yes"	1038	839	227	30	63	973	306	15595	4400	300	500	79	84	11.3	23	11644	80	1279
"Alderson-Broaddus College"	"Yes"	582	498	172	21	44	799	78	10468	3380	660	1800	40	41	11.5	15	8991	52	877
"Alfred University"	"Yes"	1732	1425	472	37	75	1830	110	16548	5406	500	600	82	88	11.3	31	10932	73	1940
"Allegheny College"	"Yes"	2652	1900	484	44	77	1707	44	17080	4440	400	600	73	91	9.9	41	11711	76	1751
"Allentown Coll. of St. Francis de Sales"	"Yes"	1179	780	290	38	64	1130	638	9690	4785	600	1000	60	84	13.3	21	7940	74	1768
"Alma College"	"Yes"	1267	1080	385	44	73	1306	28	12572	4552	400	400	79	87	15.3	32	9305	68	1334
"American International College"	"Yes"	1420	1093	220	9	22	1018	287	8700	4780	450	1400	78	84	14.7	19	7355	69	1305
"Amherst College"	"Yes"	4302	992	418	83	96	1593	5	19760	5300	660	1598	93	98	8.4	63	21424	100	1598
"Andrews University"	"Yes"	1130	704	322	14	23	1586	326	9996	3090	900	1320	62	66	11.5	18	10908	46	1912
"Antioch University"	"Yes"	713	661	252	25	44	712	23	15476	3336	400	1100	69	82	11.3	35	42926	48	735
"Aquinas College"	"Yes"	619	516	219	20	51	1251	767	11208	4124	350	1615	55	65	12.7	25	6584	65	2018
"Arkansas College (Lyon College)"	"Yes"	708	334	166	46	74	530	182	8644	3922	500	800	79	88	12.6	24	14579	54	712
"Augustana College"	"Yes"	761	725	306	21	58	1337	300	10990	3244	600	1021	66	70	10.4	30	6871	69	1637
"Augustana College IL"	"Yes"	1879	1658	497	36	69	1950	38	13353	4173	540	821	78	83	12.7	40	9220	71	1988
"Austin College"	"Yes"	948	798	295	42	74	1120	15	11280	4342	400	1150	81	95	13	33	11361	71	1135
"Averett College"	"Yes"	627	556	172	16	40	777	538	9925	4135	750	1350	59	67	22.4	11	6523	48	1315
"Baker University"	"Yes"	602	483	206	21	47	958	466	8620	4100	400	2250	58	68	11	21	6136	65	1424
"Barat College"	"Yes"	261	192	111	15	36	453	266	9690	4300	500	500	57	77	9.7	35	9337	71	719
"Bard College"	"Yes"	1910	838	285	50	85	1004	15	19264	6206	750	750	98	98	10.4	30	13894	79	1019
"Beaver College"	"Yes"	1163	850	348	23	56	878	519	12850	5400	400	800	78	89	12.2	30	8954	73	1397
"Bellarmine College"	"Yes"	807	707	308	39	63	1198	605	8840	2950	750	1290	74	82	13.1	31	6668	84	1803
"Belmont Abbey College"	"Yes"	632	494	129	17	36	709	131	9000	4850	300	2480	78	85	13.2	10	7550	52	840
"Beloit College"	"Yes"	1320	923	284	26	54	1085	81	16304	3616	355	715	87	95	11.1	26	12957	69	1166
"Benedictine College"	"Yes"	632	620	222	14	24	702	501	9550	3850	350	250	64	84	14.1	18	5922	58	1203
"Bennington College"	"Yes"	519	327	114	25	53	457	2	21700	4100	600	500	35	59	10.1	33	16364	55	459
"Berry College"	"Yes"	1858	1221	480	37	68	1620	49	8050	3940	350	2375	80	80	16.3	17	10511	63	1669
"Bethany College"	"Yes"	878	816	200	16	41	706	62	8740	3363	550	1700	62	68	11.6	29	7718	48	768
"Bethel College"	"Yes"	502	384	104	11	28	347	74	6200	2900	600	800	63	63	11.7	13	7623	35	421
"Bethel College KS"	"Yes"	202	184	122	19	42	537	101	8540	3580	500	1400	61	80	8.8	32	8324	56	638
"Birmingham-Southern College"	"Yes"	805	588	287	67	88	1376	207	11660	4325	400	900	74	79	14	34	8649	72	1583
"Blackburn College"	"Yes"	500	336	156	25	55	421	27	6500	2700	500	1000	76	76	14.3	53	8377	51	448
"Bluefield College"	"Yes"	377	358	181	15	30	653	129	7150	4350	450	1500	61	67	17.8	3	6259	53	782
"Bluffton College"	"Yes"	692	514	209	20	50	760	81	9900	3990	400	900	76	71	13.3	19	9073	58	841
"Bowdoin College"	"Yes"	3356	1019	418	76	100	1490	8	19030	5885	1495	875	93	96	11.2	52	20447	96	1498
"Bradford College"	"Yes"	443	330	151	5	36	453	42	14080	6270	500	900	57	80	10.2	21	15387	46	495
"Brenau University"	"Yes"	367	274	158	12	41	917	479	9592	5879	500	700	71	80	13.7	12	5935	49	1396
"Briar Cliff College"	"Yes"	392	351	155	16	44	738	430	10260	3597	600	1500	39	66	13.1	26	8355	58	1168
"Bridgewater College"	"Yes"	838	673	292	22	53	881	55	10265	4725	560	875	68	73	13.2	24	8655	82	936
"Bryn Mawr College"	"Yes"	1465	810	313	71	95	1088	16	18165	6750	500	1200	100	100	12.3	49	17449	89	1104
"Cabrini College"	"Yes"	599	494	224	8	28	1035	446	10518	6250	300	300	59	76	16.5	36	7117	71	1481
"Caldwell College"	"Yes"	1011	604	213	17	42	693	868	8900	4600	425	1000	87	96	13.9	25	7922	55	1561
"California Lutheran University"	"Yes"	563	247	247	23	52	1427	432	12950	5300	612	576	72	74	12.4	17	8985	60	1859
"Campbellsville College"	"Yes"	848	587	298	25	55	935	184	6060	3070	600	1300	62	66	17.7	13	5391	49	1119
"Capitol College"	"Yes"	100	90	35	10	52	282	331	8400	2812	300	2134	10	50	12.1	24	7976	52	613
"Carleton College"	"Yes"	2694	1579	489	75	93	1870	12	19292	3957	550	550	81	93	10.4	60	17960	91	1882
"Carroll College"	"Yes"	1160	991	352	19	55	1357	737	12200	3880	480	930	74	81	17.8	25	7666	79	2094
"Carson-Newman College"	"Yes"	1096	951	464	27	62	1776	239	8150	3150	400	500	61	62	13.6	16	6716	67	2015
"Carthage College"	"Yes"	1616	1427	434	20	43	1405	580	13125	3775	500	1300	74	89	15.9	22	7364	62	1985
"Castleton State College"	"No"	1257	940	363	9	22	1547	294	7656	4690	400	700	89	91	14.7	8	6318	79	1841
"Catawba College"	"Yes"	1083	880	291	13	34	915	80	9270	4100	600	1860	75	82	13.5	27	8425	55	995
"Cazenovia College"	"Yes"	3847	3433	527	9	35	1010	12	9384	4840	600	500	22	47	14.3	20	7697	118	1022
"Cedar Crest College"	"Yes"	776	607	198	25	58	791	764	14340	5285	500	1000	58	83	11.7	39	10961	74	1555
"Centenary College"	"Yes"	369	312	90	12	46	396	526	11400	5400	500	760	41	85	9.5	20	9583	24	922
"Centenary College of Louisiana"	"Yes"	495	434	210	35	55	775	44	8950	3490	600	1900	86	92	11.3	25	9685	66	819
"Center for Creative Studies"	"Yes"	601	396	203	1	20	525	323	11230	6643	2340	620	8	58	6.8	4	13025	47	848
"Central College"	"Yes"	1283	1113	401	31	65	1355	40	10938	3660	650	600	76	90	13.5	29	8444	67	1395
"Central Wesleyan College"	"Yes"	174	146	88	8	29	1047	33	8300	3080	600	600	62	62	15.2	18	3365	58	1080
"Centre College"	"Yes"	1013	888	288	55	82	943	7	11850	4270	600	900	95	99	11.4	60	13118	74	950
"Chapman University"	"Yes"	959	771	351	23	48	1662	209	16624	5895	600	1100	72	80	12.8	6	12692	47	1871
"Chatham College"	"Yes"	212	197	91	28	56	471	148	13500	5230	400	850	95	98	9.3	37	16095	52	619
"Chestnut Hill College"	"Yes"	342	254	126	25	64	518	232	10335	5015	700	850	71	71	8.3	29	7729	73	750
"Christendom College"	"Yes"	81	72	51	33	71	139	3	8730	3600	400	800	92	92	9.3	17	10922	58	142
"Christian Brothers University"	"Yes"	880	520	224	16	42	1068	364	9300	3260	600	900	81	81	11.1	24	8129	63	1432
"Claflin College"	"Yes"	1196	697	499	21	47	959	13	4412	2460	500	1000	69	69	16.9	31	7083	21	972
